x_m,y_m  # Perfil superior (revolución eje x).
1.054868825936368548e+00,1.791266631819735545e-03
1.056920242939260790e+00,1.633586222589990949e-03
1.058971659942153254e+00,1.482975318366516184e-03
1.061023076945045496e+00,1.339471454544156502e-03
1.063074493947937960e+00,1.203110395294286743e-03
1.065125910950830201e+00,1.073926124651649466e-03
1.067177327953722443e+00,9.519508380447849532e-04
1.069228744956614907e+00,8.372149342722912287e-04
1.071280161959507371e+00,7.297470079267920264e-04
1.073331578962399613e+00,6.295738422685637301e-04
1.075382995965291855e+00,5.367204025505877777e-04
1.077434412968184319e+00,4.512098297966882264e-04
1.079485829971076560e+00,3.730634350342875946e-04
1.081537246973969024e+00,3.023006939832861774e-04
1.083588663976861266e+00,2.389392422022640198e-04
1.085640080979753730e+00,1.829948706933670589e-04
1.087691497982645972e+00,1.344815219668249484e-04
1.089742914985538214e+00,9.341128656620401147e-05
1.091794331988430677e+00,5.979440005519753691e-05
1.093845748991323141e+00,3.363924046669297267e-05
1.095897165994215383e+00,1.495232621478548201e-05
1.097948582997107625e+00,3.738314470280723273e-06
1.100000000000000089e+00,0.000000000000000000e+00
